JNJ
NVS
PFE
MRK
GILD
AMGN
SNY
NVO
GSK
CVS
MMM
ABBV
BMY
AZN
UNH
CELG
BIIB
LLY
MDT
ABT
ACT
WAG
AGN
ESRX
TEVA
MCK
VRX
COV
ALXN
REGN
BAX
WLP
SYK
AET
HCA
VRTX
CAH
CI
BDX
LUX
FMS
PRGO
SNN
ZTS
HUM
MYL
ABC
STJ
ZMH
ISRG
BSX
DVA
EW
BMRN
BCR
INCY
CFN
HSIC
ENDP
JAZZ
SHPG
PCYC
UHS
HSP
RDY
DGX
VAR
MDVN
LH
COO
ALKS
ALNY
Q
HOLX
XRAY
PBYI
RMD
TARO
IDXX
OCR
MD
EVHC
UTHR
SLXP
CVD
BKD
CYH
QGEN
CNC
MNK
CBST
RAD
ISIS
TFX
THC
SIRO
PDCO
SGEN
ALGN
DXCM
AKRX
STE
HNT
ICPT
ACHC
OPK
MR
HLF
HLS
TECH
ALR
ICLR
PCRX
WCG
RCPT
CRL
PRXL
LPNT
NPSP
CTLT
GRFS
ACAD
WX
MYGN
HRC
AVNR
AGIO
AMSG
GEVA
PODD
NUS
MOH
MNKD
HCSG
OMI
MSA
XON
IPXL
GMED
MWIV
CLVS
NUVA
EXAS
HAE
CHE
LCI
SEM
KITE
DYAX
HYH
IRWD
PBH
NKTR
CMN
CBPO
AUXL
MGLN
THRX
MDCO
NEOG
KERX
THOR
ACOR
RARE
EXAM
NBIX
WMGI
SPNC
OPHT
HZNP
KPTI
CYBX
MASI
KND
PTCT
HTWR
ABMD
PDLI
INSY
TRNX
SCAI
CLDX
ANAC
NVAX
BLUE
CNMD
HALO
ARIA
PTLA
GHDX
CMRX
PAHC
DPLO
ICUI
MDXG
LGND
BABY
RGLS
ZLTQ
ACHN
NXTM
SAGE
XLRN
QDEL
TSRO
ARNA
CSII
SGNT
MACK
EBS
NLNK
LDRH
NVDQ
ENSG
GWPH
NHC
IMGN
NRCIB
DEPO
AMED
ENTA
BRLI
EPZM
AAVL
SGMO
LMNX
KYTH
PMC
AMAG
BDSI
ASPX
ELGX
ZSPH
UAM
BCRX
RGEN
RDUS
GTIV
CBM
HGR
VIVO
INSM
FMI
LXRX
RLYP
INO
ADPT
IPCM
CSU
SRPT
ATRI
MMSI
DRTX
AEGR
RPTP
INFI
KTWO
TTPH
PRTA
ANGO
OMED
CIVI
AERI
OMER
ANIK
MNTA
TXMD
ATRA
MGNX
TBPH
ONVO
AMRI
HWAY
OFIX
CYNO
ARAY
OVAS
AAC
ANIP
VASC
VOLC
ARRY
ALDR
IVC
IMDZ
OSUR
IG
CEMP
OTIC
SPPI
USPH
GNMK
OREX
VSAR
VNDA
RVNC
OSIR
ATRC
RMTI
XNPT
AMPH
FOLD
HPTX
ITCI
INGN
RNA
ZFGN
ARDX
TGTX
AGTC
ASEI
XENT
LHCG
DVAX
NRCIA
TRIB
SCMP
XOMA
SCLN
UNIS
BIOS
ESPR
PGNX
VTL
TKMR
GERN
ELOS
RDNT
CGEN
TKAI
SMA
TNDM
PTX
STAA
VVUS
RWLK
EXEL
XNCR
SUPN
PETX
IMMU
OCUL
SNTA
CCM
LMNS
NWBO
ZIOP
ARWR
CTIC
NVCN
FPRX
DERM
CORT
SGYP
TTOO
CERS
FLXN
EXAC
SVA
POZN
TRIV
NEO
RTIX
NATR
FLML
ATRS
CRY
PPHM
SRDX
RTRX
AMBI
SKH
PETS
CLDN
ACRX
ADMS
OXFD
AFAM
BSTC
SIEN
PRQR
VTAE
ECYT
SNMX
BTX
AIQ
TRXC
GALE
CNCE
RPRX
VSTM
CUR
DSCI
ADUS
MRTX
FWP
ENZ
UTMD
BEAT
ALIM
AKBA
NSTG
HRTX
ATNM
KANG
QLTI
CCXI
IDRA
FVE
NNVC
LOXO
AMPE
CARA
STML
PLX
AGEN
LJPC
AMSGP
ZGNX
PSTI
QURE
NAVB
CPRX
TRUP
EBIO
NPD
CALA
KIN
OHRP
EGRX
NBS
THLD
AKAO
MEIP
ICAD
PFNX
PVCT
ARGS
VCYT
DRNA
CYTR
RIGL
TRVN
LBMH
CUTR
BIND
PRTO
GNCA
DNDN
CYTK
GLYC
AMRN
QTNT
KMDA
ERB
ATEC
SRNE
EARS
CRME
DSCO
RXDX
LFVN
RNN
NEPT
LMAT
MCUR
MSLI
AGRX
AFMD
ICEL
ATHX
EGLT
DBVT
GALT
AUPH
CBAY
ONTY
MZOR
VBLT
CRIS
ARDM
FCSC
CERU
OCRX
TENX
CNAT
BIOL
EVAR
ONTX
AST
CORI
VICL
HSKA
SNSS
DPRX
MRNS
PIP
RVP
MDGN
HNSN
ETRM
CPIX
TLOG
TROV
ISR
SYN
SURG
APTO
CRDC
IBIO
TRGT
SIGA
FATE
ALQA
DRRX
TNXP
BOTA
FONR
LPDX
IMMY
STEM
PMD
IRIX
LAKE
SSH
PTIE
INFU
MNOV
CNDO
NERV
TEAR
SCYX
ADK
ORPN
AQXP
DRAD
CDNA
DVCR
ASMB
ORMP
USMD
CYCC
ARQL
CFRX
GLMD
CBRX
ASTM
BVX
IPCI
ONCY
APT
PHMD
KBIO
EPRS
CGIX
PRAN
CPXX
LPTN
APRI
MSTX
HEB
SPAN
BCLI
CVM
ADXS
ACST
IMNP          
VRML
UPI
INNL
VSCI
ADHD
LPCN
AXGN
ENZN
NSPH
HART          
VBIV
OGXI
AVEO
OXGN
CASI
ADMP
NSPR
GTXI
CEMI
APPY
ANTH
HH
EDAP
EVOK
PBMD
SKBI
ALDX
IMUC
NBY
STXS
NRX
CRMD
GBIM
AEZS
BIOD
CYTX
HTBX
CASM
GNVC
MYOS
ROSG
RGDO
OGEN
RXII
PTN
ALXA
BDMS
MGCD
ACUR
BONE
RGDX
DHRM
DXR
NYMX
PRPH
CJJD
BLRX
BLFS
GBSN
BSPM
CBLI
ATOS
CANF
OPXA
CLTX
REPH
RDHL
LUNA
ABIO
RTGN
ANCI
BASI
CLRB
BSDM
HRT
AXN
AMDA
PPHMP
TPI
DARA
SSY
AKER
RELV
OCLS
BGMD
IMRS
AMS
ICCC
AHPI
CPHI
DCTH
ELMD
SGYPU
VSCP
SGNL
BIOC
BAXS
ESMC
PDEX
SMLR
MELA
ECTE
NVGN
CLSN
XTLB
GENE
PRTK
CYCCP
CELGZ
RPRXW
RPRXZ
CBSTZ
CYHHZ
WMGIZ
NWBOW
GALTU
GALTW
TROVU
TROVW
CLRBW
ADXSW
SGYPW
QTNTW
CAPNU
CFRXW
CFRXZ
EYEG
STIM
XENE
NSIG
GCVRZ
