WFC
JPM
BAC
C
RY
SAN
AXP
WBK
TD
LYG
GS
LFC
USB
MTU
ITUB
AIG
BNS
MS
RBS
UBS
BBVA
MET
BCS
BBD
PUK
BLK
ING
SMFG
PNC
BMO
COF
BK
MFG
BSBR
DB
HDB
CS
PRU
SCHW
ACE
CM
BX
BEN
MFC
TRV
IBN
STT
MMC
DFS
CME
ALL
BBT
AFL
AON
KKR
ICE
AV
MHFI
CB
AMP
SYF
NMR
SLF
SHG
TROW
STI
MCO
AEG
AMTD
IX
IVZ
HIG
FITB
MTB
L
BSMX
PGR
NTRS
PFG
LNC
KB
RF
CFG
BAP
IRE
BCH
KEY
AMG
ALLY
CBG
CNA
BSAC
VOYA
AVAL
CTRX
MKL
EFX
CG
CIT
APO
WF
XL
CMA
UNM
CINF
NAVI
NBG
HBAN
FNF
RJF
RE
ACGL
AJG
WSH
NDAQ
Y
CIB
OAK
NYCB
TMK
SEIC
WRB
ETFC
LM
RLGY
JLL
SBNY
LAZ
ZION
SC
RGA
SIVB
PRE
BPY
PL
AFG
OZM
EWBC
CBOE
EV
HCBK
CFR
HCC
AXS
PACW
AIZ
BOKF
ROL
BRO
PBCT
TFSL
BCA
DNB
CYN
LEAF
MRKT
SLM
PB
CBSH
GNW
LPLA
AGO
RNR
WDR
ERIE
ORI
UMPQ
FNFV
CNO
ISBC
WTM
NSAM
AFSI
AWH
VR
SNV
APAM
ARES
BPOP
FII
FAF
FIG
CACC
PRAA
RDN
MORN
ANAT
SF
BKU
FHN
FMER
THG
MCY
MTG
SFG
OZRK
ASBC
WBS
PRI
ESGR
HBHC
EEFT
AHL
JNS
UMBF
NSM
OCN
TCBI
FNFG
PRA
SYA
BMA
BOH
ENH
KW
PVTB
TCB
AB
MKTX
UBSI
FCNCA
BFR
WAL
EVER
VAC
CBSHP
IBKC
FULT
NNI
GZT
WTFC
WAFD
BXS
GBCI
FNB
HOMB
GBL
RLI
CATY
ESNT
WETF
AEL
FFIN
DFT
VLY
MBI
ALEX
KMPR
HAWK
CNS
HTH
LADR
OMAM
LEJU
HPP
HAWKB
SUSQ
BGCP
IBOC
EVR
CFFN
FSRV
NGHC
MC
MBFI
VRTS
ONB
CVBF
TRMK
NFJ
GOV
FNGN
TPRE
PTP
OB
CBU
IBKR
ABM
MRH
SIGI
SSB
COLB
AGII
NPBC
FGL
PNFP
EJ
PHH
IILG
HLSS
PRK
AF
FIBK
WABC
BLX
FMBI
KCG
HMN
FFG
GHL
SFN
CBF
GLRE
NWBI
MMI
RESI
PFS
AAMC
ECPG
GWB
BBCN
BOFI
STL
NBTB
FBP
UCBI
VPFG
BPFH
FFBC
AMBC
RSE
UBSH
BANF
BNCL
WSBC
NAVG
TLMR
CHFC
NWLI
KRNY
INDB
FCB
PJC
RNST
NOAH
MHLD
EGBN
SAFT
GDOT
FCF
FBC
MOVE
STC
IPCC
STFC
BANR
STBA
WIBC
AMSF
NBHC
UFCS
SFBS
IBTX
SRCE
LTS
TMP
RCAP
EFC
NFBK
GBLI
FXCM
CRVL
WRLD
TRNO
CHCO
HAFC
ITG
TRST
LKFN
WSFS
CPF
NBCB
BRKL
FSAM
EIG
ABCB
SFNC
OFG
ORIT
WAC
PZN
BHLB
CTBI
SASR
WASH
TRC
AI
SBSI
WLRH
GFIG
EBSB
GTY
UVE
GTS
YDKN
DGICB
UEPS
STBZ
CFNL
NEWS
FOR
FFIC
BLW
SQBK
NATL
DCOM
XIV
XOOM
BUSE
NMIH
WHG
KCLI
HFWA
GGAL
TREE
HRTG
GSBC
WD
BNCN
HVB
CSFL
RBCAA
CUBI
COBZ
HTLF
PICO
FITBI
GCA
HCI
CRESY
FRME
SYBT
COWN
MDLY
CCG
THFF
DHIL
WLRHU
GNBC
SBCF
EHTH
EMCI
WSBF
BMTC
EAGLU
TCBK
LBAI
DGICA
SFE
EAGL
NTRSP
UIHC
BWINB
GABC
PFIS
BHBK
BBNK
MSFG
EFSC
GCAP
SNBC
CO
AGM
CIA
RMAX
CACB
BKYF
FNHC
PEBO
BWINA
TBBK
FLIC
METR
AROW
ATAX
CSBK
FISI
SWS
FBNC
PNX
PFSI
MBWM
PSTB
OKSB
GBNK
ESBF
UVSP
INTL
OPY
BANC
LION
NBBC
HTBI
SGM
OABC
MIG
BDGE
FCBC
BKMU
CTO
CAC
FDEF
BMRC
BNK
ABCW
SLMBP
TAXI
HMPR
JGW
OCFC
AUMA
BBX
CLMS
IBCP
BPOPN
PPBI
BLVDU
TSC
BSF
WTBA
SUBK
BLVD
CCNE
CCBG
HEOP
UCFC
MRLN
HMST
TRTL
CLACU
BFIN
FBNK
PCBK
FBRC
IHC
CZNC
HTWO
CLAC
BSRR
COB
FRNK
HBNC
HTBK
ATLO
CIFC
EBTC
PWOD
CASH
MOFG
HALL
CUNB
CHFN
NKSH
PGC
CNBKA
IBCA
MN
MSL
TBNK
PLMT
NRIM
FRF
FXCB
SAMG
FNLC
AMNB
CISG
MBVT
LEVYU
TRTLU
FBIZ
HGSH
LEVY
REXI
CPSS
AHH
FFNW
ANCX
GGAC
BHB
MCBC
FFKT
OLBK
BLMT
AFH
TIPT
HBOS
GLDI
HBCP
HIIQ
SLMAP
JMP
MHLDO
RM
MFSF
CFNB
FMNB
NICK
FRBK
ITIC
ROIQ
BCRH
TCBIP
VALU
SIFI
LNBB
QCRH
CBMG
PULB
SMBC
OSBC
LCNB
IFT
VBTX
PROV
MNRK
ESSA
WFD
PEOP
ORRF
SONA
GRIF
CVLY
GGACU
FSGI
PMBC
CHMG
PFBI
MBRG
APP
BWFG
NHTB
CFFI
SMPL
MFI
KFS
FMBH
CVCY
ACNB
GCBC
WFBI
PBIP
SHBI
MLP
OFED
MBFIP
MBTF
UNB
HBNK
ASFI
HNNA
CARO
NBTF
HCACU
CBNJ
BYLK
BCBP
CAMB
FAC
NWFL
TCFC
GDEF
PEBK
EVBN
ISTR
HFFC
ESXB
OVBC
CACG
RVSB
OSHC
ONFC
CBIN
CIZN
NBN
SMMF
ASBB
TINY
NECB
AUBN
HFBC
CHEV
MWRX
UBFO
AMIC
INBK
CBNK
OVLY
AMRB
FCZA
BOCH
FSBK
WBB
SFST
FBMS
AAME
ARL
LARK
XBKS
SLCT
FCCY
LSBK
TSBK
OPOF
IROQ
MLVF
EVBS
FCCO
HWBK
FCTY
KFFB
UNTY
FBSS
PNBK
ALLB
MBCN
JAXB
PKBK
BKSC
PFBX
CNR
LPSB
SNFCA
TRCB
VYFC
FCAP
UNAM
ACFC
BKJ
FCLF
MMAC
DNBF
ASRV
KINS
MFNC
LABC
MCBK
CBAN
PBSK
TFSC
HMNF
SIEB
UCBA
NVSL
SMAC
FSBW
FSFG
NGHCP
GFED
ESBK
USBI
FCVA
CWAY
GWGH
MPB
ANCB
CWBC
RIVR
FUNC
GROW
WBKC
BYBK
SBCP
COBK
UBOH
PIH
MGYR
SOCB
RBPAA
ASBI
AFCB
PSBH
DSLV
OXBR
SVBI
SBBX
WEBK
CZWI
CBFV
SAL
SFBC
HBK
SBFG
HBMD
HFBL
MSBF
EBMT
JACQ
UBCP
SMACU
JXSB
EMCF
PBHC
ZIV
USLV
JACQU
PLBC
SIBC
QCCO
OBAS
DRL
CCCR
WAYN
TVIX
NSEC
PBCP
GLBZ
SGB
BOTJ
FWV
CLBH
BYFC
GTWN
LPHI
BANFP
IFMI
SSFN
CARV
FMD
CMSB
CZFC
CFBK
WVFC
JTPY
CTC
FFKY
ATLC
FFNM
DGLD
UGLD
SLVO
PBIB
OPHC
VIIX
VBFC
VIIZ
TVIZ
ASBCW
BPOPM
SGZA
ZBK
ZIONW
ZIONZ
WAFDW
FFBCW
ASRVP
SIVBO
KMPA
CATYW
OSBCP
BPFHP
BPFHW
INTLL
WTFCW
PVTBP
PVTD
GER
GMZ
GSF
GSJ
TFG
BGCA
AMBCW
THGA
AFA
AFGE
AFQ
AFW
AFSD
AGM/A
AFM
MGR
BAC^W
TAPR
BRK/A
BRK/B
C^K
C^N
COF^C
CRD/A
CRD/B
AIW
GEB
HGH
IDG
IND
INZ
ISF
ISG
ISP
IPB
MER^D
MER^E
MER^F
MSJ
MSZ
MWG
MWO
MWR
NW^C
OFG^A
AGIIL
RJD
SFB
ISM
JSM
OSM
USB^A
VLYWW
CVB
JBK
XKE
HYL
KCC
KTH
KTN
KTP
PIY
PZB
PFX
TZF
PJS
GEH
GEK
BOCA
TCBIL
TCBIW
HJV
PYB
PYS
PYT
GJH
GJS
SBNYW
GYC
GYB
PFH
NYMTP
KFH
KFI
GJO
GJT
GJV
PFK
PJH
PRH
AEB
AED
AEH
AEK
JBN
JBR
JMPB
JMPC
MHNA
MHNB
MHNC
HCJ
COWNL
KWN
CUBIL
CACGU
CACGW
JACQW
CLACW
EAGLW
ROIQW
LEVYW
CAMBU
CAMBW
BLVDW
OXBRW
FFWM
MELR
TFSCR
TFSCW
WLRHW
ENFC
GGACR
GGACW
TRTLW
SMACR
SNC
CADT
CADTR
CADTU
CADTW
AUMAW
HDRAU
AVV
CRESW
FCZAP
HBANP
RBS^E
RBS^F
RBS^G
RBS^H
RBS^I
WSFSL
DTK
DTT
DXB
