UNP
UPS
CNI
FDX
DAL
CP
CSX
NSC
AAL
LUV
UAL
KSU
CHRW
JBHT
EXPD
ALK
RYAAY
LFL
ODFL
SAVE
GWR
CEA
CPA
ASR
TK
PAC
ZNH
JBLU
SWFT
LSTR
GSH
CNW
BRS
ALGT
KNX
HTLD
WERN
SSW
AIRM
SFL
CMRE
FWRD
CKH
STNG
HUBG
NVGS
GOL
SAIA
UTIW
ARCB
NMM
AAWW
BCO
DRYS
HA
CPLP
LPG
RRTS
SBLK
VLRS
UACL
YRCW
PHIIK
MRTN
DAC
DSX
PHII
ECHO
SALT
NM
RJET
SKYW
DHT
TNP
ATSG
EGLE
STB
CGI
ERA
HELI
NNA
SB
ULTR
PATR
USDP
NAO
PTSI
GASS
QLTY
OMAB
ASC
CVTI
GSL
BALT
USAK
OSGB
FRO
RLGT
DCIX
ISH
PRGN
PWX
ESEA
AIRT
GLBS
TOPS
TEU
SHIP
SINO
FREE
GWRU
KSU^
SSWN
PRGNL
SBNA
AVH
SLTB
