PG
BHP
UL
UN
RIO
VALE
DD
DOW
MON
LYB
PX
ECL
PCP
FCX
SYT
APD
PPG
POT
GLW
SCCO
PKX
IP
TS
MT
NUE
MOS
GG
ABX
AGU
CF
EMN
SRCL
FLR
CHD
AES
NEM
TCK
WLK
LEN
CE
ICL
MLM
MAS
SEE
IFF
FNV
FMC
CCJ
MWV
GRA
VAL
SLW
FBR
FBHS
JEC
TRQ
SQM
RPM
ACH
HUN
CBI
BAK
CSL
ROC
X
MEOH
STLD
RS
AEM
MDU
NEU
ALB
SCTY
TX
RGLD
HXL
EGO
PAH
AU
SMG
WST
ATI
POL
AUY
CYT
SHI
GOLD
FWLT
CVA
BDC
CBT
AXLL
KS
CLH
CMP
SXT
KGC
GFI
CRS
KBR
TROX
BRP
UFS
MTX
TNH
CENX
BVN
TAHO
PPO
MTZ
SLCA
CSTM
FUL
LPX
CHMT
CMC
OLN
NGD
BCPC
FMSA
VHI
SIM
RFP
TMST
HBM
TAM
GRAM
CLF
CLV
HCLP
DOOR
BTG
OCIP
NPO
SXC
SWC
KRO
PAAS
PRIM
VMC
GVA
TREX
SWM
TPC
CLW
GPRE
SBGL
ROG
DDC
FTK
AIN
RYAM
AKS
CCC
GLT
WDFC
FOE
KWR
SHLM
IOSP
DY
ICA
IPI
UFPI
GY
NP
SCL
SXCP
AGI
NG
OEC
PGEM
UAN
MERC
DEL
AUQ
HL
RIOM
WLKP
IAG
HMY
LXU
AEGN
NSU
BGC
TSE
KOP
CVCO
AMWD
MDM
AG
KRA
MTRX
REX
PVG
FF
PPP
TWI
MYRG
DNN
FSTR
WPP
FSM
IBP
AGX
RNF
PLG
PATK
MVG
ADES
OCIR
REGI
GLDD
TC
SSRI
CDE
MTL
RYI
USLM
MUX
NL
AMRC
GFA
PEIX
AVD
OMN
LNDC
HCCI
LSG
RBY
RTK
NCFT
MCP
ORN
SA
NWPX
SAND          
PLM
EXK
NOR
SZYM
PLPC
AKG
EVGN
TGB
MSB
TIS
CFI
FRM
XRM
AMRS
GORO
KMG
XIN
TRR
LXFR
SVM
ZEUS
BIOA
USAP
HYGS
CAS
STRL
SVLC
UEC
TGD
LAYN
AMTX
VRS
UUUU
SYNL
FHCO
MDW
TRX
URG
URZ
RIC
PZG
ATL
ANV
GPL
FNRG
LODE
DRD
CDXS
SYMX
CHNR
GSS
SCOK
CRWS
AAU
AMRK
MBII
CGA
FNJN
SMED
GSV
AXX
PAL
GMO
PESI
XRA
GURE
MBLX
SWSH
WRN
GV
URRE
EMXX
RGSE
PBM
ASM
ERS
NCQ
AMZG
IDSA
GRH
BAA
GRBK
XPL
NAK
TAS
THM
AXU
APWC
CHLN
RVM
GNI
OCC
SKY
EGI
AUMN
SVBL
REE
AVL
TORM          
MEA
VGZ
GEVO
MGN
FSI
MGH
CTIB
MEIL
QRM
LIME
IGC
CADC
TLR
OSN
LEU
DD^A
DD^B
HL^B
MTCN
CISAW
MEILW
MEILZ
AES^C
