XOM
GE
CVX
PTR
BBL
TOT
BP
SLB
SNP
COP
E
STO
PBR
OXY
EOG
SU
APC
HAL
EMR
PSX
CLR
IMO
CNQ
ENB
SSL
NOV
APA
VLO
CMI
DVN
MPC
HES
PHG
PXD
MRO
BHI
NBL
PAA
MMP
CVE
PAGP
CHK
EQT
AR
CPG
EEP
ECA
COG
MWE
YPF
PBA
FTI
CXO
KMR
SWN
IEP
RRC
WFT
RGP
CAM
SXL
RIG
SDRL
XEC
MUR
ESV
BPL
HP
CNX
TSO
HFC
LINE
OII
WLL
DRC
VET
CLB
TLM
ATHL
NE
JOY
DO
NBR
EGN
MPLX
PSXP
MIC
MRD
BTE
GPOR
WNR
NS
QEP
GEL
TLLP
SHLX
NFX
CIE
BC
CVI
DNR
AHGP
YZC
RICE
KOS
FANG
SPN
EPE
WPX
SM
UPL
RES
ARLP
CVRR
DRQ
WWD
SEMG
PTEN
BWC
INT
BTU
RDC
OIS
ERF
DNOW
IOC
FI
NGL
HLX
LNCO
OAS
KOG
LPI
FET
PBF
VLP
NTI
FELP
ATW
CRZO
UNT
ROSE
EEQ
PDS
BBEP
ECR
PWE
VNR
PGH
PE
CLMT
HEP
OILT
EMES
SDLP
RSPP
DK
SD
ORIG
BPT
RRMS
BCEI
MTDR
RIGP
NSH
PACD
VNOM
MGEE
PDCE
LGCY
WNRL
EVEP
CEO
NRP
MEMP
HOLI
HK
ARP
SGY
TPL
NADL
PZE
GTE
MMLP
ALDW
CGG
ALJ
CWEI
GLP
CJES
QRE
SN
NR
DKL
SYRG
MHR
BGG
VTTI
BXE
XCO
PLUG
SJT
DMLP
CLD
GLF
THR
AAV
PBFX
GSJK
SBR
MCF
PSIX
TTI
CYD
WTI
PHX
NOG
SUN
EXXI
BBG
WLB
JONE
SSE
ANR
WPT
TESO
CAK
PVA
TPLM
JPEP
GTI
TLP
ACI
PARR
PBT
CRK
PES
PER
CAPL
BAS
PKD
CHKR
EROC
EC
GPRK
ANW
AXAS
SRLP
PGN
REXX
MCEP
AREX
APAGF
EGY
IO
LRE
GDP
HGT
KEG
WPRT
ROYT
REI
ISRL
BLDP
CPE
HNRG
SFY
GULTU
TGA
TREC
NSLP
NGS
EPM
MY
ARCX
CPST
VTG
SDR
WG
TAT
REN           
HERO
NDRO
BKEPP
PQ
WRES
MVO
AT
GST
CELP
NES
MPO
WHZ
WLT
PFIE
EOX
BOLT
NOA
BBEPP
ICD
AE
BKEP
NRT
CRT
LGCYO
VNRBP
MILL
FXEN
PNRG
VTNR
VOC
GLRI
KWK
HNR
DWSN
FST
SDT
BPZ
RNO
SDPI
DAKP
ENSV
ECT
USEG
SAEX
MPET
SPP
TGE
FES
ZN
DOM
IPWR
MTR
AETI
DEJ
LGCYP
ADGE
ESTE
ROYL
LLEX
WHX
SSN
HDY
TRCH
ENRJ
CKX
MARPS
TGC
SEV
WLBPZ
PSTR
FPP
OXF
PED
RCON
BRN
AMCF
SARA
ESCR
IVAN
FXENP
YUMA
HUSA
MXC
LEI
SOQ
ZAZA
GBR
ESCRP
CPE^A
VNRAP
VNRCP
NSS
PBR/A
