BABA
WMT
DIS
CMCSA
CMCSK
AMZN
HD
MCD
FOX
TWX
COST
SBUX
LOW
SPG
LVS
FOXA
TJX
DTV
TGT
TWC
AMT
CCL
CUK
PSA
YUM
LBTYB
BAM
VIAB
TRI
VIA
DISH
KR
CBS
CCI
LBTYK
EQR
HLT
NFLX
HCN
SHW
GGP
LB
MAR
M
TI
AVB
PLD
VNO
TV
CMG
VTR
HCP
BXP
DG
TYC
SIRI
LVNTB
RUK
ORLY
AZO
WY
WYNN
GWW
DISCB
PAYX
HST
CHTR
ROST
WFM
GPS
LMCB
ENL
PSO
RCI
RCL
SBAC
DISCA
DISCK
JWN
HOT
QVCB
FAST
BBBY
TIF
ESS
DLTR
QVCA
BBY
KSS
BKW
SJR
HBI
SLG
THI
EXPE
MGM
CBD
NLY
SNI
O
AAP
KIM
TSCO
LBTYA
GIB
HTZ
SIG
MAC
WYN
DLR
FRT
IHG
FDO
HRB
LKQ
NWSA
H
AGNCB
NWS
SPLS
LMCK
CNCO
TW
SWY
ARCP
AGNC
NCLH
ULTA
FL
UDR
IT
IRM
PCL
PETM
DRI
WPC
DEG
GCI
EXR
DRE
DDR
ARMK
CPT
ADT
WSM
CAR
BIP
KEX
ARE
HHC
BRX
REG
LAMR
KRC
HDS
CDW
DKS
IACI
UHAL
MAA
AIV
LPT
LYV
CVC
STWD
ALLE
GME
DNKN
NNN
R
TCO
MSG
OHI
DDS
GLNG
SFM
SRC
LVNTA
LGF
SHLD
SNH
PNRA
SBH
GHC
MPEL
HPT
WRI
AMCX
SCI
RYN
YELP
BMR
CXW
APU
RLJ
URBN
ACC
DEI
ELS
CNK
LHO
HIW
P
BAH
G
LMCA
NRF
SIX
STAY
TWO
RPAI
HSNI
HME
GLPI
ZU
EDU
CAB
ODP
JMEI
RGC
EAT
SKT
EQC
SERV
AMH
ACM
EPR
CBL
STRZA
CIM
APOL
STRZB
SHO
BURL
CXP
MTN
DV
CUBE
BEE
CHH
RH
WEN
MFA
PPS
GEO
PDM
BWLD
PEB
HTA
EQY
GMT
STN
HMHC
DCT
SSS
CBRL
TGP
JACK
PSMT
CUZ
DSW
BDN
DRH
SUI
BLMN
CLNY
SPH
LQ
FUN
BIG
SBGI
GSAT
CCO
HR
LXP
XRS
AEO
RHP
AMC
CEB
OFC
CAKE
TOO
BKE
JCP
MPW
TIME
JD
CHS
PKY
FGP
SVU
UNF
MFRM
PSB
MDP
LOPE
KRG
FIVE
TXRH
NHI
EGP
LTM
MW
FR
ALX
DGI
W
ANF
GMLP
AKR
XPO
ASNA
GRT
PZZA
IVR
DRII
I
TDW
CSG
NYT
GCO
DWA
TFM
HCT
TVPT
HTS
CHSP
CHDN
NYRT
PCH
NRZ
CLI
ABCO
DIN
CMCT
CZR
JOE
TTEK
MNRO
ANN
FCN
FCFS
SEAS
USTR
BXMT
CEQP
AAT
RWT
EDR
PMT
GLOG
STAG
HURN
AVIV
ESRT
ANDE
SBRA
LL
NORD
TIVO
ISCA
ROIC
FRGI
PEI
BCC
HT
CYS
LTC
NSR
LE
SIR
WTW
ARR
ASPS
CSH
ARCO
GOGO
BECN
CACQ
PNK
RPT
LOCO
NXST
BKS
BEL
FCH
SONC
VIPS
LIN
MEG
GK
VNCE
EXPR
FINL
MATX
BOBE
BYD
MYCC
BJRI
STAR          
CRWN
CMO
HF
WMK
PIR
FSP
COUP
OUTR
HOS
MMYT
CVEO
CONN
HIBB
BFS
PLKI
SCHL
HMIN
AEC
MANT
EGOV
PENN
PINC
SFS
PLCE
IRC
TCS
MGAM
EROS
CONE
EXPO
DANG
ZUMZ
SRSC
SSP
AHT
MTGE
CATO
INN
WWE
SWAY
RRGB
UVV
CTCM
QTS
IRET
NSIT
ARCPP
RGS
STKL
ENT
TUES
TISI
NCMI
WBAI
STRA
ASCMA
CPLA
OWW
IRS
PLAY
TOUR
COR
TRK
RNET
CMLS
EXL
HTHT
SALE
ARI
FENG
EGL
VRTV
STON
DENN
NAT
FORR
NDLS
NCI
NYMT
FPO
UBA
ICFI
GPT
DOC
NEWM
CLDT
RSO
CKEC
FTD
ZOES
MNR
PRSC
SBY
VLCCF
ANH
GLOP
MANU
UHT
NCT
WMC
BOXC
IMKTA
FUR
SMRT
APEI
UBP
PCCC
FRED
RAS
BH
STNR
CALX
EZPW
OSTK
BCOM
ARPI
BLDR
HMTV
GTN
CHGG
SSI
GPX
DFRG
SYX
CDR
FLWS
AMTG
AMRE
NTRI
PBY
HVT
KNOP
DL
BPI
FRAN
CHSCM
RT
LRN
SP
MG
ARC
HZO
SNOW
JRN
EVC
DX
MCS
ADC
SFXE
CTT
CHSCN
TTS
AHP
RUTH
BOOT
DLNG
NILE
WINA
PBPB
TPUB
NGVC
STCK
SCVL
REXR
XOXO
ETM
ANGI
EBF
VLGEA
CECO
CHUY
OLP
HASI
SGU
TNK
CTRE
CSV
LITB
SHOS
ABR
ACRE
PFMT
GOOD
CTRN
FC
WSR
VSEC
CETV
KIRK
CHSCO
ORBC
VVTV
NATH
TITN
HMLP
BBW
NYNY
SPWH
ISLE
BGFV
HCOM
TSRE
MCRI
UTI
DJCO
CSS
CRCM
DXLG
MNI
BPTH
TAST
WIFI
VEC
AHC
IRT
KONA
ARO
CBK
RDI
RDIB
SGA
BBRG
ESI
UMH
HCKT
MSO
LONG
GFN
CHSCP
JMBA
TEDU
TSQ
DEST
ASPN
SALM
GSOL
HIL
TLYS
BONA
AOI
IRG
LEE
NEN
BONT
ORC
DAVE
XUE
SZMK
NWY
CRRC
III
ORM
OAKS
CLUB
RNDY
BSI
EARN
DXM
HGG
ZAGG
FRSH
CCSC
SBRAP
PRGX
ABGB
JMI           
APTS
GAIA
FRS
ZFC
LUB
BAGR
CHMI
RRST
CNTY
MATR
RLH
ROIA
IKGH
ROIAK
RICK
WLDN
BBGI
STRS
FWM
PSUN
TCI
MAYS
TWMC
BRT
OMEX
EDMC
PERF
RLOG
RSH
PRTS
VRNG
LACO
PCMI
TWER
DVD
LINC
EMMS
HBP
LAND
CIO
FPI
SOHO
MEET
NAUH
TST
ARKR
ABCD
BRG
YOD
PANL
GKNT
ATV
GMAN
ENG
IMH
MARK
RLJE
NVEE
NXTD
ATAI
MHH
PRSS
MTGEP
EPAX
SR
INTG
GTIM
COSI
EEI
CYRN
PRXI
CPHC
BDL
ISIG
APSA
INUV
CRTN
WHLM
LTRE
AXR
WHLR
NTN
LTBR
VSR
IDI
GOODO
WTSL
DOVR
JCTCF
IOT
GOODP
AEY
DDE
FLL
SBSA
ACFN
MOC
BAMM
UWN
CACH
KUTV
EMMSP
IHT
EVI
REDF
LOAN
PW
WHLRP
ARCI
COCO
HMG
HOTR
DGSE
VRTB
SPPR
CNYD
WPCS
DLIA
SPRO
SPPRO
VRTA
RPI
HMNY
GYRO
AQQ
CALI
SPPRP
EMITF
QKLS
PTSX
ERI
BWL/A
RFT
RFTA
DDT
FCH^A
WRT
GTN/A
GGP^A
EQCO
HVT/A
JW/A
JW/B
