AAPL
MSFT
GOOGL
GOOG
FB
ORCL
INTC
IBM
CSCO
QCOM
TSM
SAP
HPQ
BIDU
DCM
EMC
TXN
YHOO
ADP
CRM
INFY
ITW
VMW
ADBE
MU
ETN
CTSH
WIT
NOK
LNKD
AMAT
INTU
TWTR
BRCM
WDC
CERN
AVGO
SNDK
STX
OMC
WDAY
SYMC
NXPI
FISV
KYO
ADI
MSI
ATVI
CHKP
NTAP
ADSK
DOV
CA
EA
PNR
LRCX
XLNX
RHT
SWKS
URI
ALTR
NVDA
CTXS
VRSK
LLTC
TRIP
LLL
MBLY
JNPR
NOW
FFIV
AER
ASX
QIHU
IHS
CSC
MCHP
PANW
YNDX
MXIM
N
IMS
ASML
IPG
SPLK
RHI
DOX
CNQR
ANSS
VRSN
OTEX
MRVL
TDC
SNPS
FLEX
STM
FSL
DATA
LECO
FDS
CDNS
MIDD
RAX
MAN
UMC
ARMH
SSYS
FSLR
GRPN
ANET
JKHY
NUAN
SUNE
BRCD
AUO
SABR
FEYE
ATHM
ARRS
YOKU
FTNT
KING
ULTI
DLB
PTC
COMM
IM
SSNC
NATI
JBL
INFA
SPWR
TQNT
CREE
TIBX
TMH
AL
RFMD
SPW
IPGP
SLH
DDD
DST
VEEV
ZBRA
SYNT
SWI
TYL
GWRE
ONNN
VRNT
WUBA
SAPE
BITA
SFUN
SMI
AZPN
AOL
CW
JDSU
ATML
BYI
VSAT
MANH
YY
RVBD
LDOS
CAVM
IRF
RXN
CMCM
SSTK
SNX
CLGX
AWAY
SINA
JCOM
QLIK
IDTI
LXK
KNM
UBNT
MSCC
LTRPB
MENT
ERIC
LORL
TRAK
MDSO
TECD
CNVR
EXH
SAIC
SYNA
ARUN
CPWR
EPAM
LOGI
IGTE
SNCR
TTWO
CVLT
SATS
ZNGA
AMD
ACIW
EFII
CVG
SANM
EIGI
ATU
MDRX
BLKB
DWRE
NMBL
ATE
TGH
MLNX
CACI
SOHU
INXN
SLAB
LTRPA
FCS
AAN
ZEN
MSTR
CLS
EVTC
MPWR
FNSR
RP
ADVS
SMTC
NICE
ISIL
TSRA
CUDA
RCII
TRLA
PFPT
ASGN
CSIQ
AYR
CY
NTCT
LOCK
CRTO
SMCI
POWI
OVTI
PEGA
CCOI
PMCS
AMKR
CSOD
ORB
ACXM
TAL
VECO
KFY
AMBA
OSIS
FLTX
CRAY
PLXS
INVN
TNC
UIS
PCTY
PRGS
BHE
RMBS
MKTO
TRUE
CODE
LXFT
CRUS
DIOD
MDAS
TTEC
LOGM
VRTU
RENN
CVT
OMCL
ELLI
CCMP
QLYS
IMPV
DSGX
HUBS
TYPE
CTCT
SCSC
PAYC
SWIR
CSLT
RKUS
TBI
MTSI
VDSI
SGMS
QLGC
KLIC
AVG
SYKE
SPSC
SXI
ININ
WPPGY
EPAY
MDCA
MITL
MGRC
CYBR
SONS
BLOX
VNET
JBT
CSGS
QSII
NSP
HSTM
TSL
RNG
PRO
OPWR
WWWW
BSFT
JOBS
HIMX
SIMO
DRIV
BRKS
AHS
LSCC
CALD
LPSN
TWOU
JKS
CAMP
SEMI
MOBL
KFRC
MCRL
CPSI
ACTA
ZPIN
WIX
IMOS
QTWO
BNFT
CTS
HLIT
CMTL
EZCH
MONT
BCOR
EPIQ
FUEL
PRFT
BV
TXTR
RLD
KFX
TTMI
EBIX
PLAB
TSEM
PKE
